cartridge,bullet_diameter,bullet_type,bullet_weight,powder_type,burn_rate_index,charge_weight,velocity_fps,barrel_length,twist_rate,coal,compressed_load
260_rem,0.264,naturalis_n507,140,vihtavuori_n160,143,34.7,2208,24.75,9,2.886,no
260_rem,0.264,naturalis_n507,140,vihtavuori_n560,147,38.1,2234,24.75,9,2.886,no
260_rem,0.264,naturalis_n563,140,vihtavuori_n150,124,29.3,2188,24.75,9,2.756,no
260_rem,0.264,naturalis_n563,140,vihtavuori_n550,129,33.5,2310,24.75,9,2.756,no
260_rem,0.264,naturalis_n563,140,vihtavuori_n555,144,36.6,2365,24.75,9,2.756,no
260_rem,0.264,naturalis_n563,140,vihtavuori_n160,143,34,2260,24.75,9,2.756,no
260_rem,0.264,naturalis_n563,140,vihtavuori_n560,147,39.7,2362,24.75,9,2.756,no
260_rem,0.264,accubond,140,vihtavuori_n550,129,36.1,2362,24.75,9,2.756,no
260_rem,0.264,accubond,140,vihtavuori_n160,143,37.5,2343,24.75,9,2.756,no
260_rem,0.264,accubond,140,vihtavuori_n560,147,39.5,2415,24.75,9,2.756,no
260_rem,0.264,a_frame,140,vihtavuori_n550,129,31.5,2198,24.75,9,2.795,no
260_rem,0.264,a_frame,140,vihtavuori_n160,143,28.5,2057,24.75,9,2.795,no
260_rem,0.264,a_frame,140,vihtavuori_n560,147,37,2297,24.75,9,2.795,no
260_rem,0.264,a_frame,140,vihtavuori_n565,156,40,2375,24.75,9,2.795,no
260_rem,0.264,eld_x,143,vihtavuori_n140,112,30.1,2185,24.75,9,2.795,no
260_rem,0.264,eld_x,143,vihtavuori_n540,117,30.9,2251,24.75,9,2.795,no
260_rem,0.264,eld_x,143,vihtavuori_n150,124,30.1,2182,24.75,9,2.795,no
260_rem,0.264,eld_x,143,vihtavuori_n550,129,35.5,2359,24.75,9,2.795,no
260_rem,0.264,eld_x,143,vihtavuori_n555,144,38.6,2411,24.75,9,2.795,no
260_rem,0.264,eld_x,143,vihtavuori_n160,143,37,2320,24.75,9,2.795,no
260_rem,0.264,eld_x,143,vihtavuori_n560,147,40.9,2392,24.75,9,2.795,no
260_rem,0.264,long_range_hybrid_target,144,vihtavuori_n540,117,33.6,2398,24.75,9,2.795,no
260_rem,0.264,long_range_hybrid_target,144,vihtavuori_n150,124,32.4,2287,24.75,9,2.795,no
260_rem,0.264,long_range_hybrid_target,144,vihtavuori_n550,129,36.6,2431,24.75,9,2.795,no
260_rem,0.264,long_range_hybrid_target,144,vihtavuori_n555,144,40.4,2490,24.75,9,2.795,no
260_rem,0.264,long_range_hybrid_target,144,vihtavuori_n160,143,40.6,2428,24.75,9,2.795,no
260_rem,0.264,long_range_hybrid_target,144,vihtavuori_n560,147,42.9,2461,24.75,9,2.795,no
260_rem,0.264,fmjbt,144,vihtavuori_n550,129,33.2,2221,24.75,9,2.795,no
260_rem,0.264,fmjbt,144,vihtavuori_n555,144,37.2,2385,24.75,9,2.795,no
260_rem,0.264,fmjbt,144,vihtavuori_n160,143,36,2231,24.75,9,2.795,no
